"sz002810"    "山东赫达"
"sz002800"    "天顺股份"
"sz300121"    "阳谷华泰"
"sz300510"    "金冠股份"
"sz002792"    "通宇通讯"
"sz300036"    "超图软件"
"sz300179"    "四方达"
"sz300111"    "向日葵"
"sz300591"    "万里马"
"sz300850"    "新强联"
"sz002167"    "东方锆业"
"sz300400"    "劲拓股份"
"sz003037"    "三和管桩"
"sz300327"    "中颖电子"
"sz300706"    "阿石创"
"sz300153"    "科泰电源"
"sz000553"    "安道麦A"
"sz002507"    "涪陵榨菜"
"sz000796"    "ST凯撒"
"sz000973"    "佛塑科技"
"sz300040"    "九洲集团"
"sz300319"    "麦捷科技"
"sz001269"    "欧晶科技"
"sz300307"    "慈星股份"
"sz300529"    "健帆生物"
"sz002378"    "章源钨业"
"sz000786"    "北新建材"
"sz002416"    "爱施德"
"sz300082"    "奥克股份"
"sz300608"    "思特奇"
"sz300316"    "晶盛机电"
"sz002848"    "高斯贝尔"
"sz000513"    "丽珠集团"
"sz002849"    "威星智能"
"sz002403"    "爱仕达"
"sz300012"    "华测检测"
"sz002538"    "司尔特"
"sz002652"    "扬子新材"
"sz002059"    "云南旅游"
"sz300168"    "万达信息"
"sz300775"    "三角防务"
"sz002527"    "新时达"
"sz000507"    "珠海港"
"sz002534"    "西子洁能"
"sz000708"    "中信特钢"
"sz000997"    "新 大 陆"
"sz002892"    "科力尔"
"sz002705"    "新宝股份"
"sz000524"    "岭南控股"
"sz000430"    "张家界"
"sz000705"    "浙江震元"
"sz000712"    "锦龙股份"
"sz002623"    "亚玛顿"
"sz002951"    "金时科技"
"sz002250"    "联化科技"
"sz300276"    "三丰智能"
"sz300845"    "捷安高科"
"sz000993"    "闽东电力"
"sz000419"    "通程控股"
"sz002853"    "皮阿诺"
"sz300636"    "同和药业"
"sz002083"    "孚日股份"
"sz002221"    "东华能源"
"sz002494"    "华斯股份"
"sz002688"    "金河生物"
"sz002896"    "中大力德"
"sz000949"    "新乡化纤"
"sz002997"    "瑞鹄模具"
"sz300084"    "海默科技"
"sz000902"    "新洋丰"
"sz002138"    "顺络电子"
"sz300827"    "上能电气"
"sz000488"    "晨鸣纸业"
"sz000996"    "中国中期"
"sz300025"    "华星创业"
"sz002558"    "巨人网络"
"sz300762"    "上海瀚讯"
"sz000928"    "中钢国际"
"sz002588"    "史丹利"
"sz002387"    "维信诺"
"sz000501"    "武商集团"
"sz002584"    "西陇科学"
"sz000099"    "中信海直"
"sz300445"    "康斯特"
"sz002208"    "合肥城建"
"sz300418"    "昆仑万维"
"sz300322"    "硕贝德"
"sz002154"    "报 喜 鸟"
"sz002179"    "中航光电"
"sz002286"    "保龄宝"
"sz300921"    "南凌科技"
"sz002922"    "伊戈尔"
"sz300398"    "飞凯材料"
"sz002831"    "裕同科技"
"sz300590"    "移为通信"
"sz000967"    "盈峰环境"
"sz300499"    "高澜股份"
"sz002766"    "索菱股份"
"sz002449"    "国星光电"
"sz000016"    "深康佳Ａ"
"sz002397"    "梦洁股份"
"sz002901"    "大博医疗"
"sz300252"    "金信诺"
"sz002549"    "凯美特气"
"sz300782"    "卓胜微"
"sz300481"    "濮阳惠成"
"sz300579"    "数字认证"
"sz000548"    "湖南投资"
"sz301269"    "华大九天"
"sz300172"    "中电环保"
"sz000931"    "中 关 村"
"sz300682"    "朗新科技"
"sz300219"    "鸿利智汇"
"sz000582"    "北部湾港"
"sz300639"    "凯普生物"
"sz300222"    "科大智能"
"sz300095"    "华伍股份"
"sz300365"    "恒华科技"
"sz300421"    "力星股份"
"sz300188"    "美亚柏科"
"sz300375"    "鹏翎股份"
"sz000852"    "石化机械"
"sz002081"    "金 螳 螂"
"sz300102"    "乾照光电"
"sz300643"    "万通智控"
"sz300703"    "创源股份"
"sz002911"    "佛燃能源"
"sz000885"    "城发环境"
"sz300988"    "津荣天宇"
"sz000936"    "华西股份"
"sz300244"    "迪安诊断"
"sz002756"    "永兴材料"
"sz002247"    "聚力文化"
"sz300505"    "川金诺"
"sz000692"    "惠天热电"
"sz000848"    "承德露露"
"sz002788"    "鹭燕医药"
"sz002149"    "西部材料"
"sz300132"    "青松股份"
"sz300678"    "中科信息"
"sz300259"    "新天科技"
"sz301004"    "嘉益股份"
"sz000565"    "渝三峡Ａ"
"sz002805"    "丰元股份"
"sz002819"    "东方中科"
"sz300748"    "金力永磁"
"sz002612"    "朗姿股份"
"sz300032"    "金龙机电"
"sz300113"    "顺网科技"
"sz300272"    "开能健康"
"sz000901"    "航天科技"
"sz300667"    "必创科技"
"sz300022"    "吉峰科技"
"sz002952"    "亚世光电"
"sz300310"    "宜通世纪"
"sz000025"    "特 力Ａ"
"sz002712"    "思美传媒"
"sz300282"    "ST三盛"
"sz002161"    "远 望 谷"
"sz300007"    "汉威科技"
